Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
Jefferson Science Fellowship Program,https://careers.state.gov/work/fellowships/jefferson-science/,Fellowship,Government,Professionals,Free,,USA,,,,,"Established in 2003, the Jefferson Science Fellows (JSF) program is a model for engaging the American academic science, technology, and engineering communities in the formulation and implementation of U.S. foreign policy. The JSF program is overseen by the Office of the Science and Technology Adviser to the Secretary of State, with administrative support of the National Academies. It is a model of a public-private partnership between the U.S. academic community, professional scientific societies, and the U.S. Department of State and U.S. Agency for International Development (USAID).",University Faculty,Free,"U.S. Citizens, Scientists and engineers who are tenured faculty from U.S. institutions of higher learning",1 year
Junior Solar Sprint,https://www.usaeop.com/program/jss/,Robotics,Government,"Elementary, Middle",Free,,USA,,,,,"JSS is an educational program for 5th through 8th grade students with the goal of creating the fastest, most interesting and best crafted solar-vehicle possible. Students will design, build and race solar powered cars using hands-on engineering skills and principles of science and math, develop teamwork and problem solving abilities, investigate environmental issues and gain hands-on STEM skills. To register, scroll to the map and click on the link in your state to get started today!",Grades 5-8,Free,,
Louis Stokes Educational Scholarship Program,https://apply.intelligencecareers.gov/student-tiles,Scholarship,Government,"High, Postsecondary",Free,,USA,,,,,"This highly competitive program targets high-achieving, committed secondary school seniors and college freshmen and sophomores interested in a career in public service. The program offers scholarship awardees tuition assistance to accredited colleges and universities, challenging summer work and a guaranteed position in their field of study upon graduation. Students will attend classes full-time during the academic year and work at DIA during the summer in positions related to their course of study. While in school, students must maintain an overall cumulative grade point average (GPA) of 3.0 on a 4.0 scale (or its equivalent) for each semester/quarter.",High School Seniors and Undergraduate Students,Free,"U.S. Citizen, Current enrollment in undergraduate or graduate program with a 3.0 college GPA, Financial hardship,  at least 60 university hours",Yearly Summer Internships
Margaret A. Davidson Graduate Fellowship,https://coast.noaa.gov/nerrs/research/davidson-fellowship.html,Fellowship,Government,Postsecondary,Free,,USA,,,,,"It’s an exciting new two-year fellowship program that will place one graduate student at each of the 29 national estuarine research reserves. Through a research project, fellows will address a key coastal management question to help scientists and communities understand coastal challenges that may influence future policy and management strategies.",Graduate students,Free,"U.S. Citizen or permanent resident, current graduate student with at least two year left in degree",Summer
NASA Pathways Programs,https://www.nasa.gov/careers/pathways-program,Internship,Government,"High, Postsecondary, Professionals",Free,,,,,,,"Provide opportunities for students and recent graduates to be considered for federal employment through:
NASA Pathways Intern Employment Program (IEP), NASA Pathways Recent Graduates Program (RGP), NASA Pathways Presidential Management Fellows (PMF) Program","High School, Undergrad, grad, PhD",Free,"Undergraduate student, maintain a 2.9 GPA, U.S. Citizen",1 year
National Math and Science Initiative,https://www.nms.org/Our-Programs.aspx,Curriculum,Government,"Elementary, Middle, High, Postsecondary",Free,,USA,,,,,"We strive to advance STEM education to ensure all students, especially those furthest from opportunity, thrive and reach their highest potential as problem solvers and lif​elong learners who pursue their passions and tackle the world's toughest challenges​.",K-12 Students,Free,,
National Science Bowl,https://www.energy.gov/science/wdts/workforce-development-teachers-and-scientists,Challenge,Government,"Middle, High",Free,,USA,,,,,"At the National Science Bowl, high school and middle school students participate in a nation-wide competition to test their knowledge of STEM fields and encourage students to explore careers in STEM.  High school and middle school students are quizzed in a fast paced question-and-answer format similar to Jeopardy.",,Free,,Year Round
Naval Research Enterprise Internship Program,https://navalsteminterns.us/nreip/,Internship,Government,Postsecondary,Free,,USA,,,,,"The goals of NREIP are to encourage participating college students to pursue science and engineering careers, to further their education via mentoring by laboratory personnel and their participation in research, and to make them aware of DoN research and technology efforts, which can lead to employment within the DoN.",College Students,Free,,10 Weeks
NGA Summer Internship Program,https://apply.intelligencecareers.gov/student-tiles,Internship,Government,"Postsecondary, Professionals",Free,,USA,,,,,"Student employment assignments are open to associate, undergraduate, graduate, and post-graduate students and are based on entry-level professional job descriptions, which will involve a great deal of independent and team oriented work under the guidance of a senior-level supervisor and mentors. Students who perform successfully and meet program requirements are invited to continue in the program for the duration of their degree programs, and may be granted the opportunity for conversion to permanent employment upon graduation.",Undergraduate and Graduate Students,Free,"U.S. Citizen, Enrolled in degree program",12 weeks
NIJ Graduate Research Fellowship,https://nij.ojp.gov/funding/fellowships/graduate-research-fellowship-program,Fellowship,Government,Postsecondary,Free,,USA,,,,,"The NIJ Graduate Research Fellowship (GRF) program supports doctoral students engaged in research that advances NIJ’s mission. The goal of the GRF program is to increase the pool of scholars engaged in research that addresses the challenges of crime and justice in the United States, particularly at the state and local levels.",Pursuing a PhD,Free,Enrolled in a PhD program in a science or engineering field,
